Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude;
LF;LFBA/NA;PtRep;Agen Pont RN13 VF (M.I.N.);;170;44.1928;0.646667;
LF;LFBA/N;PtRep;Agen RN21 D13 Foulayronnes;;520;44.245;0.643333;
LF;LFBA/W;PtRep;Agen Silos Feugarolle;;150;44.2286;0.351944;
LF;LFBA/S;PtRep;Agen Village Astaffort;;300;44.0639;0.651389;
LF;LFBA/WB;PtRep;Agen Village Laplume;;700;44.1114;0.531389;
LF;LFBA/SA;PtRep;Agen Village Layrac;;200;44.135;0.660556;
LF;LFBA/WA;PtRep;Agen Village Serignac s/G;;140;44.2142;0.484722;
LF;LFMA/AE;PtRep;Aix 1 Km Nord Ch Gardanne;;750;43.48;5.48528;
LF;LFMA/AS;PtRep;Aix 1 Km W Cabriès;;600;43.445;5.37222;
LF;LFMA/AW;PtRep;Aix Acqueduc Roquefavour;;400;43.5161;5.31194;
LF;LFMA/AR;PtRep;Aix Bretelle A8 Aix Ouest - Panne Radio;;650;43.5269;5.40222;
LF;LFMA/AT;PtRep;Aix Carrefour Est Eguilles;;880;43.5725;5.39194;
LF;LFMA/AN;PtRep;Aix Tr Est tr de guet W Eguilles;;570;43.5639;5.33639;
LF;LFKJ/SA;PtRep;Ajaccio Capu di Muru;;1;41.7389;8.65833;
LF;LFKJ/SEA;PtRep;Ajaccio Carr. Bocca Arghellaju;;1900;41.8103;8.84833;
LF;LFKJ/N;PtRep;Ajaccio Plage de Stagnone;;30;42.0472;8.74722;
LF;LFKJ/W;PtRep;Ajaccio Sémaphore Iles Sanguinaires;;1;41.8756;8.58806;
LF;LFKJ/S;PtRep;Ajaccio Sierra;;1;41.6619;8.72333;
LF;LFKJ/WA;PtRep;Ajaccio Sud Cimetière;;1;41.8972;8.70472;
LF;LFKJ/SB;PtRep;Ajaccio Sud plage d'Agosta;;140;41.8536;8.79167;
LF;LFKJ/SC;PtRep;Ajaccio Tour de Capitello;;15;41.9042;8.79917;
LF;LFKJ/NWA;PtRep;Ajaccio Tr Ch. de la Punta;;700;41.9619;8.72778;
LF;LFKJ/NV;PtRep;Ajaccio Tr Col Vizzanova;;4000;42.1097;9.11389;
LF;LFKJ/NW;PtRep;Ajaccio Trav. Cargèse;;1;42.1211;8.51639;
LF;LFKJ/NZ;PtRep;Ajaccio ZA de Tavaco;;550;42.0183;8.89333;
LF;LFAQ/SA;PtRep;Albert Cappy sur canal;;170;49.9239;2.75972;
LF;LFAQ/N;PtRep;Albert Hamel Vallée de l'Ancre;;270;50.0656;2.66222;
LF;LFAQ/S;PtRep;Albert Inter N29/A1;;260;49.8739;2.83472;
LF;LFAQ/WA;PtRep;Albert Mémorial de Cerisy;;120;49.9056;2.6325;
LF;LFAQ/W;PtRep;Albert Mémorial Sud Corbie;;300;49.8869;2.51167;
LF;LFAQ/NA;PtRep;Albert Nord ZI Albert;;320;50.0161;2.67333;
LF;LFCD/N;PtRep;Andernos Plage de St-Brice;;1;44.7464;-1.11806;
LF;LFCD/SE;PtRep;Andernos Réservoir Dom. De Certes;;1;44.6917;-1.04556;
LF;LFLI/R;PtRep;Anemasse Ouest Reignier;;1600;46.1419;6.26111;
LF;LFJR/SE;PtRep;Angers M. Beaufort en V.;;80;47.4408;-0.212222;
LF;LFJR/N;PtRep;Angers M. inter A11/Loir;;80;47.655;-0.272778;
LF;LFJR/SW;PtRep;Angers M. Inter A87-Loire;;60;47.4175;-0.505556;
LF;LFJR/S;PtRep;Angers M. Péage;;150;47.5411;-0.341389;
LF;LFJR/NW;PtRep;Angers M. Pt Châteauneuf s Sarthe;;65;47.6781;-0.486667;
LF;LFBU/NE;PtRep;Angoulême Carrière N Forêt Braconne;;300;45.7936;0.293611;
LF;LFBU/SE;PtRep;Angoulême Ech N141 + Antenne;;500;45.7025;0.264722;
LF;LFBU/NA;PtRep;Angoulême Entrepôts;;310;45.7775;0.192222;
LF;LFBU/NW;PtRep;Angoulême Inter N10/D15;;470;45.8106;0.1925;
LF;LFBU/SA;PtRep;Angoulême Nd Pl Eau St-Yriex;;110;45.6919;0.150833;
LF;LFBU/S;PtRep;Angoulême Touvre;;200;45.6611;0.259444;
LF;LFLP/ALBY;PtRep;Annecy Alby sur Chéran;;1400;45.8167;6.02028;
LF;LFLP/NE;PtRep;Annecy Col d'Evires A410 N203;;2600;46.0447;6.2575;
LF;LFLP/N;PtRep;Annecy Cruseilles;;2600;46.0344;6.10722;
LF;LFLP/E;PtRep;Annecy Ech des Glaisins;;1700;45.9353;6.16806;
LF;LFLP/HS;PtRep;Annecy Ech. Centre A41/D3508 (Hél.);;1600;45.8969;6.08778;
LF;LFLP/NA;PtRep;Annecy Echangeur A41 N201;;2200;46.0044;6.13167;
LF;LFLP/NW;PtRep;Annecy Lac de la Balme;;1610;45.9667;6.03333;
LF;LFLP/HN;PtRep;Annecy Pont de Brogny (Hél.);;1500;45.9333;6.12833;
LF;LFLP/SJ;PtRep;Annecy Saint Jorioz;;1500;45.8442;6.17417;
LF;LFLP/SA;PtRep;Annecy Seynold Ctre Comm;;1850;45.8758;6.08778;
LF;LFLP/HM;PtRep;Annecy Stade Cimetière (Hél.);;1430;45.9214;6.11583;
LF;LFLP/EA;PtRep;Annecy Station épurat. ALEX;;1800;45.8958;6.22833;
LF;LFLI/BIVLO;PtRep;Annemasse BIVLO;;1500;46.1972;6.25389;
LF;LFLI/SW;PtRep;Annemasse Est Fort Ecluse;;1200;46.1217;5.89917;
LF;LFLI/E;PtRep;Annemasse Excenevex;;1300;46.3472;6.36306;
LF;LFLI/S;PtRep;Annemasse Inter St-Julien;;1650;46.1336;6.09944;
LF;LFLI/N;PtRep;Annemasse Lac Divonne;;1530;46.3544;6.15333;
LF;LFLI/MOLUS;PtRep;Annemasse MOLUS;;1250;46.4439;6.67944;
LF;LFLI/SE;PtRep;Annemasse Port Noir;;1250;46.2128;6.1725;
LF;LFLI/W;PtRep;Annemasse St-Jean;;1500;46.2286;5.995;
LF;LFCH/NE;PtRep;Arcachon Est la Mole;;8;44.6436;-1.04833;
LF;LFCH/E;PtRep;Arcachon Est Parc du Teich;;32;44.6333;-1.00556;
LF;LFCH/W;PtRep;Arcachon Milieu Dune Pyla;;250;44.5892;-1.21361;
LF;LFCH/N;PtRep;Arcachon Nord Hippodrome;;50;44.6033;-1.12694;
LF;LFCH/P;PtRep;Arcachon Sud Plage Petit Nice;;100;44.5681;-1.23056;
LF;LFMV/NE;PtRep;Avignon C. Carpentras;;320;44.0542;5.05139;
LF;LFMV/W;PtRep;Avignon C. Durance Rhône;;60;43.9222;4.74167;
LF;LFMV/SW;PtRep;Avignon C. Graveson;;50;43.8583;4.77917;
LF;LFMV/NA;PtRep;Avignon C. Ile Barthelasse;;80;43.9872;4.82472;
LF;LFMV/E;PtRep;Avignon C. Isle sur Sorgue;;200;43.9203;5.05694;
LF;LFMV/NW;PtRep;Avignon C. Roquemaure;;100;44.0603;4.78972;
LF;LFMV/SE;PtRep;Avignon C. Sablière Nord Durance;;200;43.8583;4.9875;
LF;LFOA/BOU;PtRep;Avord Bourges;;480;47.0658;2.36167;
LF;LFOA/NE;PtRep;Avord Chaumoux Marcilly;;670;47.1272;2.77917;
LF;LFOA/DUN;PtRep;Avord Dun sur Auron;;600;46.8867;2.57111;
LF;LFOA/W;PtRep;Avord Fussy;;500;47.1494;2.42889;
LF;LFOA/S;PtRep;Avord La Chaussée;;600;46.9242;2.58639;
LF;LFOA/N;PtRep;Avord Les Aix d'Anguillon;;650;47.1969;2.57389;
LF;LFOA/SE;PtRep;Avord Nérondes;;700;46.99;2.82944;
LF;LFOA/W1;PtRep;Avord Sainte Solange;;550;47.1436;2.56194;
LF;LFOA/BS;PtRep;Avord SE Bourges;;530;47.06;2.42722;
LF;LFOA/BN;PtRep;Avord St Germain du Puy;;460;47.0981;2.4675;
LF;LFCB/CIE;PtRep;Bagneres De Luchon Cierp;;1650;42.9181;0.636944;
LF;LFSB/E;PtRep;Bâle Bge N de Huningue;;1300;47.6192;7.5725;
LF;LFSB/W;PtRep;Bâle Cimenterie Altkirch;;1200;47.6325;7.23583;
LF;LFSB/WA;PtRep;Bâle Entre 2 lignes HT sur rte;;1320;47.6;7.38139;
LF;LFSB/NE;PtRep;Bâle Inter N3/K6345;;1020;47.7075;7.58083;
LF;LFSB/N;PtRep;Bâle Pont Rhin Chalampé;;700;47.815;7.54278;
LF;LFSB/S;PtRep;Bâle Pt Autoroute NE Pratteln;;920;47.5267;7.71472;
LF;LFSB/WB;PtRep;Bâle Radar;;1585;47.5889;7.49528;
LF;LFKB/W;PtRep;Bastia Col de Lancone;;1200;42.6;9.36611;
LF;LFKB/NW;PtRep;Bastia Col de Téghime;;1700;42.6722;9.38278;
LF;LFKB/NA;PtRep;Bastia Hipp. Casatorra;;50;42.6194;9.43556;
LF;LFKB/S;PtRep;Bastia Port Campoloro;;1;42.3389;9.54111;
LF;LFKB/N1;PtRep;Bastia Tour le Losse;;60;42.8611;9.48083;
LF;LFKB/SA;PtRep;Bastia Tr Sud Centrale Lucciana;;110;42.5222;9.44389;
LF;LFKB/N;PtRep;Bastia Trav. Port;;1;42.7028;9.46333;
LF;LFKB/SW;PtRep;Bastia Us. Barchetta;;300;42.5083;9.37167;
LF;LFOB/SW;PtRep;Beauvais A16 (Tr W Relais Bois de la Molle);;750;49.3239;2.08;
LF;LFOB/N;PtRep;Beauvais A16/N1 (Bois St-Martin);;500;49.5236;2.1875;
LF;LFOB/S;PtRep;Beauvais Allone (Ech A16);;300;49.3978;2.12889;
LF;LFOB/WB;PtRep;Beauvais Goincourt;;250;49.4278;2.03972;
LF;LFOB/SE;PtRep;Beauvais Noailles (N1/D2/D44);;300;49.3292;2.2;
LF;LFOB/W;PtRep;Beauvais Pont N31;;350;49.4194;1.9375;
LF;LFBE/S;PtRep;Bergerac Castillonès Chap.;;350;44.6517;0.6;
LF;LFBE/NA;PtRep;Bergerac Ch Eau Pélissous;;410;44.8756;0.548611;
LF;LFBE/SA;PtRep;Bergerac Colombier Ch D'eau;;560;44.7753;0.521944;
